
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
svchost.exe                   2472 Services                   0     16,868 K Unknown         N/A                                                     0:00:00 N/A                                                                     
SecurityHealthService.exe     4256 Services                   0     14,492 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   4296 Services                   0     19,228 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   4712 Services                   0     15,964 K Unknown         N/A                                                     0:00:00 N/A                                                                     
MoUsoCoreWorker.exe           4768 Services                   0     25,240 K Unknown         N/A                                                     0:00:03 N/A                                                                     
svchost.exe                   3588 Services                   0     16,636 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   4856 Services                   0     18,872 K Unknown         N/A                                                     0:00:07 N/A                                                                     
svchost.exe                   5000 Services                   0     10,696 K Unknown         N/A                                                     0:00:03 N/A                                                                     
svchost.exe                   5032 Services                   0      7,108 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   4480 Services                   0     10,080 K Unknown         N/A                                                     0:00:00 N/A                                                                     
MsMpEng.exe                   1104 Services                   0    324,644 K Unknown         N/A                                                     0:07:13 N/A                                                                     
MpDefenderCoreService.exe     2604 Services                   0     19,152 K Unknown         N/A                                                     0:00:00 N/A                                                                     
NisSrv.exe                    4668 Services                   0     11,080 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   4568 Services                   0     24,484 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   3616 Services                   0     12,036 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   2304 Services                   0      6,176 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   2972 Services                   0     10,120 K Unknown         N/A                                                     0:00:00 N/A                                                                     
DefenderSessionHelper.exe     1404 Console                    1      4,572 K Running         DESKTOP-1KTUSQ5\Apollo                                  0:00:00 N/A                                                                     
sihost.exe                    3704 Console                    1     27,304 K Running         DESKTOP-1KTUSQ5\Apollo                                  0:00:02 N/A                                                                     
svchost.exe                   3792 Console                    1     17,136 K Unknown         DESKTOP-1KTUSQ5\Apollo                                  0:00:00 N/A                                                                     
svchost.exe                   2784 Console                    1     30,604 K Running         DESKTOP-1KTUSQ5\Apollo                                  0:00:00 Windows Push Notifications Platform                                     
taskhostw.exe                 2356 Console                    1     21,084 K Running         DESKTOP-1KTUSQ5\Apollo                                  0:00:00 Task Host Window                                                        
